acabar ; finir, compléter, terminer
aceptar ; accepter
acompañar ; accompagner
aconsejar ; conseiller
aumentar ; augmenter
avisar ; conseiller 
ayudar ; aider
alquilar ; louer
apagar ; éteindre
bailar ; danser
bajar ; descendre
besar ; baiser, donner les bisous. pas niquer?
buscar ; chercher
cantar ; chanter
celebrar ; célébrer
colocar ; placer
comprar ; comparer
contestar ; repondre
crear ; créer
dejar ; laisser
desear ; souhaiter, désirer
doblar ; plier
durar ; durer
echar ; jeter, lancer
enseñar ; enseigner
entrar ; entrer
escuchar ; écouter
esperar ; penser, ésperer
estudiar ; étuider
explicar ; expliquer
ganar ; gagner
gastar ; dépenser, gaspiller
guardar ; garder
hablar ; parler
instalar ; installer
invitar ; inviter
llamar ; appeler
llegar ; arriver, obtenir
llevar ; apporter
mandar ; envoyer
mirar ; regarder
nadar ; nager
necesitar ; avoir besooin
pagar ; payer
parar ; arrêter
pasar ; passer
practicar ; practiquer 
preguntar ; demander
preparar ; préparer
presentar ; presenter
pulsar ; presser
quitar ; quitter
regresar ; revenir, rentrer, retourner
reparar ; réparer 
sacar ; ressortir, faire sortir
tardar ; être en retard
terminar ; terminer
tirar ; tirer, jeter
tocar ; toucher, jouer (d'un instrument)
tomar ; prendre, boire
trabajar ; travailler
usar ; utiliser
utilizar ; utiliser
viajar ; voyager
visitar ; visiter, rendre visite à
