 finir, compléter, terminer ; acabar 
 accepter ; aceptar 
 accompagner ; acompañar 
 conseiller ; aconsejar 
 augmenter ; aumentar 
 conseiller  ; avisar 
 aider ; ayudar 
 louer ; alquilar 
 éteindre ; apagar 
 danser ; bailar 
 descendre ; bajar 
 baiser, donner les bisous. pas niquer? ; besar 
 chercher ; buscar 
 chanter ; cantar 
 célébrer ; celebrar 
 placer ; colocar 
 comparer ; comprar 
 repondre ; contestar 
 créer ; crear 
 laisser ; dejar 
 souhaiter, désirer ; desear 
 plier ; doblar 
 durer ; durar 
 jeter, lancer ; echar 
 enseigner ; enseñar 
 entrer ; entrar 
 écouter ; escuchar 
 penser, ésperer ; esperar 
 étuider ; estudiar 
 expliquer ; explicar 
 gagner ; ganar 
 dépenser, gaspiller ; gastar 
 garder ; guardar 
 parler ; hablar 
 installer ; instalar 
 inviter ; invitar 
 appeler ; llamar 
 arriver, obtenir ; llegar 
 apporter ; llevar 
 envoyer ; mandar 
 regarder ; mirar 
 nager ; nadar 
 avoir besooin ; necesitar 
 payer ; pagar 
 arrêter ; parar 
 passer ; pasar 
 practiquer  ; practicar 
 demander ; preguntar 
 préparer ; preparar 
 presenter ; presentar 
 presser ; pulsar 
 quitter ; quitar 
 revenir, rentrer, retourner ; regresar 
 réparer  ; reparar 
 ressortir, faire sortir ; sacar 
 être en retard ; tardar 
 terminer ; terminar 
 tirer, jeter ; tirar 
 toucher, jouer (d'un instrument) ; tocar 
 prendre, boire ; tomar 
 travailler ; trabajar 
 utiliser ; usar 
 utiliser ; utilizar 
 voyager ; viajar 
 visiter, rendre visite à ; visitar 
