 to reach, get through ; parvenir 
 to arise from, result ; provenir 
 to designate, nominate, name ; désigner 
 he predicts ; il prévoit 
 to push aside, discard, exclude, eliminate ; écarter 
 to unwind, unroll ; dérouler 
 to roll, furl ; rouler 
 to crumble, to fall ; écrouler 
 to collapse, to fall, to slump ; effondrer 
 the building was threatening to collapse ; le bâtiment menaçait de s'effondre 
 the damage ; le dégât 
 to fear ; craindre 
 I fear ; je crains 
 to relax, soften ; assouplir 
