es to en
el actor = actor
el agresor = aggressor
el ardor = ardor
el autor = author
el candor = candor
el censor = censor
el coautor = coauthor
el color = color
el conductor = conductor
el director = director
el doctor = doctor
el editor = editor
el error = error
el exterior = exterior
el favor = favor
el fervor = fervor
el furor = furor
el honor = honor
el horror = horror
el humor = humor
el inferior = inferior
el inspector = inspector
el instructor = instructor
el interior = interior
el motor = motor
el opresor = oppressor
el pastor = pastor
el rumor = rumor
el tractor = tractor
el vapor = vapor, steam
el profesor = professor
el sector = sector
el tumor = tumor
el protector = protector
el superior = superior
el tutor = tutor
el vigor = vigor
el reflector = reflector
el tenor = tenor
valor = valor
