es to en
cero = zero
uno = one
dos = two
tres = three
cuatro = four
cinco = five
séis = six
siete = seven
ocho = eight
nueve = nine
diez = ten
once = eleven
doce = twelve
trece = thirteen
catorce = fourteen
quince = fifteen
dieciséis = sixteen
diecisiete = seventeen
dieciocho = eighteen
diecinueve = nineteen
veinte = twenty
veintiuno = twenty-one
veintidós = twenty-two
veintitrés = twenty-three
veinticuatro = twenty-four
veinticinco = twenty-five
veintiséis = twenty-six
veintiocho = twenty-eight
veintinueve = twenty-nine
treinta = thirty
treinta y uno = thirty-one
cuarenta = fourty
cincuenta = fifty
sesenta = sixty
setenta = seventy
ochenta = eighty
noventa = ninety
cien = one hundred
